Driver_ID,length,Age,Gender,City,Education_Level,Income_total,Income_avg,Income_max,Income_min,Dateofjoining_year,Dateofjoining_month,Joining_Designation,Grade_max,Grade_min,Grade_first,Grade_last,Total_Business_Value_sum,Total_Business_Value_avg,Total_Business_Value_min,Total_Business_Value_max,Quarterly_Rating_max,Quarterly_Rating_min,Quarterly_Rating_first,Quarterly_Rating_last,Driver_Churn
1,3,28.0,0.0,23,2,172161,57387.0,57387,57387,2018,12,1,1,1,1,1,1715580,571860.0,-665480,2381060,2,2,2,2,1
2,2,31.0,0.0,7,2,134032,67016.0,67016,67016,2020,11,2,2,2,2,2,0,0.0,0,0,1,1,1,1,0
4,4,43.0,0.0,13,2,262412,65603.0,65603,65603,2019,12,2,2,2,2,2,350000,87500.0,0,350000,1,1,1,1,0
5,3,29.0,0.0,9,0,139104,46368.0,46368,46368,2019,1,1,1,1,1,1,120360,40120.0,0,120360,1,1,1,1,1
6,5,31.0,1.0,11,1,393640,78728.0,78728,78728,2020,7,3,3,3,3,3,1265000,253000.0,0,1265000,2,1,2,1,0
8,2,34.0,0.0,2,0,141312,70656.0,70656,70656,2020,9,3,3,3,3,3,0,0.0,0,0,1,1,1,1,1
12,5,35.0,0.0,23,2,140580,28116.0,28116,28116,2019,6,1,1,1,1,1,900000,180000.0,0,500000,4,1,1,1,1
13,20,31.0,0.0,19,2,2384540,119227.0,119227,119227,2015,5,1,4,4,4,4,9763040,488152.0,0,1719680,2,1,1,1,1
14,2,39.0,1.0,26,0,39468,19734.0,19734,19734,2020,10,3,3,3,3,3,0,0.0,0,0,1,1,1,1,0
16,1,30.0,1.0,23,0,52963,52963.0,52963,52963,2018,11,2,2,2,2,2,0,0.0,0,0,1,1,1,1,1
17,6,42.0,0.0,20,2,306594,51099.0,51099,51099,2018,3,1,1,1,1,1,1017640,169606.66666666666,0,674990,2,1,1,1,0
18,4,27.0,1.0,17,1,126524,31631.0,31631,31631,2019,1,1,1,1,1,1,0,0.0,0,0,1,1,1,1,1
20,4,26.0,1.0,19,0,161368,40342.0,40342,40342,2019,10,3,3,3,3,3,0,0.0,0,0,1,1,1,1,1
21,11,34.0,1.0,29,1,250305,22755.0,22755,22755,2018,5,1,1,1,1,1,6846200,622381.8181818182,0,3295370,4,1,1,2,1
22,12,41.0,0.0,10,2,374688,31224.0,31224,31224,2018,5,1,1,1,1,1,6207410,517284.1666666667,0,1120560,4,1,4,4,1
24,9,31.0,0.0,24,2,686772,76308.0,76308,76308,2018,5,1,2,2,2,2,3758560,417617.77777777775,97220,1103240,3,2,2,2,0
25,20,31.0,0.0,24,1,2041540,102077.0,102077,102077,2017,10,1,3,3,3,3,30067610,1503380.5,-414250,3053510,4,3,4,3,0
26,19,43.0,0.0,14,2,2397435,126180.78947368421,132577,121529,2018,5,1,4,3,3,4,56903320,2994911.5789473685,0,17651940,4,2,4,2,0
29,3,30.0,0.0,13,2,90936,30312.0,30312,30312,2018,5,1,1,1,1,1,929920,309973.3333333333,0,650990,2,1,1,2,1
30,3,31.0,0.0,6,1,208371,69457.0,69457,69457,2019,10,3,3,3,3,3,0,0.0,0,0,1,1,1,1,1
31,5,32.0,1.0,28,2,325945,65189.0,65189,65189,2020,7,3,3,3,3,3,950940,190188.0,0,950940,2,1,1,1,0
34,4,28.0,1.0,14,1,263252,65813.0,65813,65813,2020,7,2,2,2,2,2,476010,119002.5,0,285830,2,1,2,2,1
36,14,41.0,1.0,18,1,460110,32865.0,32865,32865,2019,7,2,2,2,2,2,4277730,305552.14285714284,-325140,1460000,3,1,2,1,1
37,5,33.0,1.0,14,1,286875,57375.0,57375,57375,2020,5,2,2,2,2,2,350020,70004.0,0,350020,1,1,1,1,1
38,4,22.0,0.0,27,0,53708,13427.0,13427,13427,2019,12,1,1,1,1,1,0,0.0,-155610,155610,1,1,1,1,1
39,4,32.0,0.0,26,0,291552,72888.0,72888,72888,2020,8,2,2,2,2,2,1821790,455447.5,150470,966340,3,2,3,3,0
40,3,32.0,0.0,15,0,177546,59182.0,59182,59182,2019,11,2,2,2,2,2,0,0.0,0,0,1,1,1,1,1
41,15,35.0,0.0,29,2,1385580,92372.0,92372,92372,2019,7,4,4,4,4,4,18326580,1221772.0,0,6718850,3,1,1,1,0
42,4,44.0,1.0,28,0,183952,45988.0,45988,45988,2018,10,2,2,2,2,2,994690,248672.5,0,657770,1,1,1,1,0
43,2,27.0,1.0,15,0,25812,12906.0,12906,12906,2018,7,1,1,1,1,1,359890,179945.0,0,359890,1,1,1,1,1
44,3,28.0,0.0,17,2,186300,62100.0,62100,62100,2020,9,1,1,1,1,1,150110,50036.666666666664,0,150110,1,1,1,1,1
45,6,35.0,0.0,8,2,465264,77544.0,77544,77544,2020,5,3,3,3,3,3,5227340,871223.3333333334,-58440,1521760,3,3,3,3,0
46,2,36.0,1.0,25,2,84342,42171.0,42171,42171,2018,10,1,1,1,1,1,106430,53215.0,0,106430,1,1,1,1,1
47,3,30.0,0.0,21,1,84000,28000.0,28000,28000,2020,10,1,1,1,1,1,866270,288756.6666666667,0,484060,2,2,2,2,0
49,11,22.0,0.0,20,0,583429,53039.0,53039,53039,2018,5,1,2,2,2,2,1498500,136227.27272727274,0,503500,2,1,1,1,1
50,1,49.0,1.0,5,0,89367,89367.0,89367,89367,2018,11,3,3,3,3,3,0,0.0,0,0,1,1,1,1,1
51,9,34.0,0.0,14,0,1182123,131347.0,131347,131347,2017,5,4,4,4,4,4,2447510,271945.55555555556,0,845500,2,1,2,2,1
52,6,37.0,0.0,19,0,292122,48687.0,48687,48687,2020,6,3,3,3,3,3,1852590,308765.0,0,556710,2,1,1,1,0
54,16,34.0,0.0,29,1,1946886,121680.375,127826,117993,2019,7,4,5,4,4,5,18237980,1139873.75,0,6062470,4,1,4,1,0
55,3,30.0,1.0,8,0,89955,29985.0,29985,29985,2019,11,1,1,1,1,1,0,0.0,0,0,1,1,1,1,0
56,20,36.0,1.0,19,2,1604460,80223.0,80223,80223,2018,7,1,1,1,1,1,9895170,494758.5,0,1490080,4,2,3,3,0
57,13,38.0,1.0,1,1,1096134,84318.0,84318,84318,2017,7,1,2,2,2,2,11142510,857116.1538461539,-157620,3636360,4,1,3,2,1
59,2,35.0,1.0,18,1,63288,31644.0,31644,31644,2019,1,1,1,1,1,1,134660,67330.0,0,134660,1,1,1,1,1
60,19,48.0,1.0,20,0,1605190,84483.68421052632,89592,82126,2016,9,1,4,3,3,3,42397450,2231444.736842105,250000,7799990,4,2,4,3,0
61,2,32.0,0.0,11,2,39636,19818.0,19818,19818,2018,5,1,1,1,1,1,0,0.0,0,0,1,1,1,1,1
62,1,27.0,0.0,9,2,62376,62376.0,62376,62376,2020,11,1,1,1,1,1,0,0.0,0,0,1,1,1,1,0
63,19,28.0,0.0,6,0,1784689,93931.0,93931,93931,2016,4,1,3,3,3,3,7762570,408556.3157894737,50000,1054160,3,1,2,2,0
64,4,33.0,0.0,27,2,266008,66502.0,66502,66502,2020,1,2,2,2,2,2,0,0.0,0,0,1,1,1,1,1
65,10,30.0,1.0,7,1,695390,69539.0,69539,69539,2018,7,2,2,2,2,2,6648910,664891.0,0,1553740,3,2,3,2,1
66,2,27.0,1.0,4,2,208572,104286.0,104286,104286,2020,1,3,3,3,3,3,0,0.0,0,0,1,1,1,1,0
